"signalSystemId","x","y"
"522","422608.8868096669","5542553.827557211"
"524","428562.2333636729","5548858.125122469"
"526","426603.22424515785","5549238.049890671"
"528","422774.96906319744","5544240.842768167"
"530","422029.0763925374","5547449.596997294"
"532","419074.99247855344","5550138.354949663"
"534","432218.83471735107","5537780.65459021"
"536","421595.6029529416","5546987.563304139"
"538","426679.1319159698","5545736.828355148"
"540","422647.28121794504","5548116.802835377"
"542","422335.13900330703","5544139.686129287"
"544","432270.1601357459","5538470.121508997"
"546","423872.77972360846","5547105.998724033"
"548","427164.81715097115","5556807.733146821"
"550","422765.3697765474","5539411.806337507"
"552","429276.21781969926","5547325.071926544"
"554","428705.0994960569","5546172.89178763"
"556","428719.50872617436","5549562.687329721"
"558","427302.56249994173","5546150.189871494"
