"signalSystemId","x","y"
"0","426381.1418900294","5548565.375514033"
"2","424497.0604627052","5538442.246112129"
"4","429425.60065878555","5548643.194996226"
"6","424702.1827545166","5542673.906733607"
"8","427237.3822808162","5547051.128879247"
"10","427607.0557136181","5546666.632923112"
"12","424772.50575541344","5540703.655136014"
"14","422431.57725747366","5542692.341720648"
"16","433104.60780920903","5538482.800995342"
"18","420946.29922874714","5547140.159623079"
"20","425970.8657325736","5547249.315331541"
"22","430312.7649223144","5543324.028348602"
"24","428490.345433955","5545410.974086082"
"26","429397.33127679536","5549783.619966091"
"28","426563.9117450326","5548109.899538627"
"30","419926.56024459284","5548369.769679399"
"32","429775.5469242585","5549702.371348385"
"34","424349.80729265686","5540273.002482198"
"36","420407.15933984553","5539963.183163543"
"38","423856.6070131444","5549377.053400416"
"40","427087.0727744394","5547204.619278461"
"42","432735.45299863","5537495.438976126"
"44","424343.83438631915","5539777.569166914"
"46","431328.3733492611","5538437.300654681"
"48","422657.035089915","5539100.831718609"
"50","424002.9244691135","5544794.685265994"
"52","427656.19393662666","5544953.963404254"
"54","434114.5222925564","5537905.808033899"
"56","423734.30826909083","5538383.618639843"
"58","428372.4130252542","5547329.881249097"
"60","423634.2647845967","5548940.082670506"
"62","428107.2278424587","5547321.836119781"
"64","422116.2533531442","5542550.480314012"
"66","423416.4003059499","5541227.017696619"
"68","423352.3151374762","5547094.23407412"
"70","415871.24258503446","5544187.462047606"
"72","424724.6043282473","5548935.41727256"
"74","422261.3967517069","5542300.98835585"
"76","432616.3317369064","5549175.693355007"
"78","424224.38068590057","5544933.550479505"
"80","429935.51063543116","5547522.609174706"
"82","426477.2779744534","5544154.657571168"
"84","428308.54140896426","5540665.173489834"
"86","422577.3690606823","5546704.689115985"
"88","421929.275172414","5542397.887535915"
"90","422467.12862564693","5547451.821650738"
"92","424432.57684805774","5549186.14637733"
"94","425228.5766407213","5540552.163612863"
"96","430778.50343467924","5548211.492336189"
"98","427718.075578405","5547291.863010275"
"100","451284.97825994215","5535338.813914778"
"102","425644.2683358999","5549357.346917855"
"104","424514.100088314","5542799.551786261"
"106","421524.4341115888","5544664.990235892"
"108","422812.9908505691","5542895.179746404"
"110","421273.724535314","5549062.222124649"
"112","419256.48300841823","5553514.869312339"
"114","425090.87109597423","5542444.435989736"
"116","422399.8301502335","5547308.2304778695"
"118","423653.2990498929","5545719.001569554"
"120","422681.2819132173","5549248.616123997"
"122","428390.1174284074","5543541.28896077"
"124","427610.9869019978","5546264.796541471"
"126","420711.7942040665","5548941.944944068"
"128","426610.74734446907","5546552.266000133"
"130","425430.15619755443","5549030.118618976"
"132","420922.7391540633","5548122.346812326"
"134","437935.13053886045","5549126.524619804"
"136","417781.4350105471","5551083.482892101"
"138","424449.4366474362","5540804.629183539"
"140","428752.40395496023","5548874.457032393"
"142","428938.7493672585","5549513.355942497"
"144","407614.67566593434","5553139.878492262"
"146","407042.83371258184","5551653.260917071"
"148","446437.1993994832","5549273.637398041"
"150","425027.93980919267","5546713.5139204245"
"152","449703.9595199699","5535738.837413072"
"154","421114.5089798797","5548007.449757492"
"156","429900.32868151856","5548513.158262601"
"158","423795.6327560878","5547357.307005779"
"160","422277.3312904856","5538087.466841873"
"162","419267.5855298325","5553289.0366898095"
"164","433389.34588174446","5537392.001382769"
"166","420444.35978113674","5547656.861212174"
"168","426165.4356558195","5552484.820250515"
"170","424083.79167638","5549038.980659155"
"172","430360.8875319956","5547978.233496609"
"174","428753.28985010704","5546559.261521703"
"176","438006.62471326714","5548821.098147656"
"178","425475.0365991425","5545556.780051882"
"180","424146.9538760706","5542327.0719549265"
"182","429140.25887994096","5540099.822590626"
"184","433686.3977635015","5546164.090686271"
"186","423232.189448488","5545321.388923032"
"188","423078.58917783905","5545727.389818058"
"190","425209.47384943423","5544180.33530815"
"192","422690.28433732456","5542700.4206651645"
"194","440245.7418997686","5540462.679781648"
"196","428707.56945866207","5543474.7944615"
"198","420053.52761591616","5549282.5279748645"
"200","425824.83353703754","5543883.348516662"
"202","441778.7301332565","5547876.299607037"
"204","423072.0697209495","5543451.502986348"
"206","422321.58172587154","5547113.210759552"
"208","429202.1999124779","5549269.297864053"
"210","423309.6193315562","5540948.71279584"
"212","427725.4305390904","5541038.32839219"
"214","425511.6170786708","5541454.955094175"
"216","425773.419428439","5550002.898239465"
"218","427443.9719700486","5547255.882225871"
"220","424489.6274827513","5546348.920364455"
"222","424592.4704171143","5545549.864783072"
"224","427228.4540134427","5544150.9369272385"
"226","425784.9643164872","5548606.686566221"
"228","423511.0504019292","5544637.402636625"
"230","416171.89542756026","5536463.27645351"
"232","431191.1324727755","5548545.729622315"
"234","423062.84594941913","5542576.173320032"
"236","422951.72478958935","5546103.798428637"
"238","421503.68088320945","5546703.162801483"
"240","419426.0605023026","5546629.277388751"
"242","421062.7852342755","5541486.234350032"
"244","423993.7817348321","5542867.639563878"
"246","431089.63290385716","5547038.53636799"
"248","428697.6624762534","5547360.239416443"
"250","424883.5859479797","5545686.616947528"
"252","434370.5502660405","5540390.832264514"
"254","424468.5611198506","5541308.518394746"
"256","429693.8419514843","5547261.301445915"
"258","424133.022413377","5543200.650723939"
"260","431441.3486114986","5543345.875670472"
"262","425891.17599063885","5540685.913664546"
"264","424144.80023012654","5549334.026078107"
"266","422256.71449566743","5549130.005908405"
"268","424205.4886016699","5547604.262783348"
"270","432803.5920946783","5537654.889482092"
"272","433128.80142823147","5549648.75382749"
