"signalId","signalSystemId","x","y"
"1840652352","0","424440.0308505584","5549207.321893262"
"1840652340","0","424407.6976893223","5549182.402246242"
"1840652336","0","424450.0020042926","5549168.714992483"
"4484315302","2","426801.31206466723","5546633.77381131"
"1080683664","2","426839.3214083975","5546675.7222530525"
"269656160","4","422685.0681151442","5549240.560047476"
"269656158","4","422677.4957112903","5549256.672200517"
"34802096","6","422189.79441307695","5537795.157092102"
"263889092","6","422200.9421251734","5537788.634448007"
"3629869271","8","429268.3694950717","5547317.158055609"
"3629869270","8","429284.06614432635","5547332.985797482"
"1798893366","10","423127.41440018325","5545652.578948452"
"1798872941","10","423092.13735735556","5545787.288616808"
"207439167","10","423097.756523579","5545649.313274437"
"1798893368","10","423090.719936086","5545665.316805011"
"1798872935","10","423083.41022158554","5545761.392078994"
"1798872942","10","423033.11616121075","5545801.62685744"
"1798872937","10","423025.56964487355","5545774.212145267"
"4424336356","12","423734.30826909083","5538383.618639843"
"1080043143","14","423045.5855938585","5548500.906838352"
"1080043210","14","423031.92127775186","5548513.514202753"
"2407132311","16","426603.2242451576","5549238.049890671"
"5762618259","18","427109.1325003263","5547192.280635092"
"1547396292","18","427100.24730588717","5547220.380608732"
"5762618258","18","427067.8146680842","5547218.498823464"
"1547396288","18","427071.0966234601","5547187.317046557"
"2264896424","20","424669.00392494263","5547578.9834431475"
"269325575","20","424655.6222311334","5547598.366001827"
"1446085878","20","424682.0888144992","5547606.589138844"
"2264896425","20","424675.2453563957","5547623.7332720645"
"6050184362","22","416177.20118362556","5536650.433228828"
"6106333735","22","416216.5160505238","5536666.010778555"
"6050184317","22","416201.84419053677","5536640.395397968"
"2561958085","24","419267.5855298328","5553289.0366898095"
"6501046627","26","423176.8014928807","5546910.902839179"
"207435827","26","423166.0919926005","5546886.380244696"
"1798898224","26","423172.3691977026","5546830.587231759"
"240971029","26","423183.79864182137","5546854.398900519"
"494601371","26","423144.6071858711","5546895.018333991"
"2420153436","28","424489.6274827513","5546348.920364455"
"261675736","30","423872.77972360846","5547105.998724033"
"2263334980","32","419253.1364803382","5544363.914579056"
"262018917","32","419251.4061856277","5544374.060530191"
"262064945","34","420161.527544457","5548358.625308132"
"355578965","36","428390.11742840766","5543541.28896077"
"2960359366","38","428754.42666762765","5547378.427889271"
"2960359361","38","428652.18525373907","5547328.527010546"
"213618845","38","428768.9771286213","5547329.6161165135"
"2960359370","38","428622.0903255963","5547401.9112127405"
"2960359363","38","428631.77291451674","5547339.697369494"
"2960368707","38","428738.150241775","5547343.916203747"
"2960359365","38","428659.3026964165","5547374.914813591"
"2960359368","38","428643.54945865844","5547386.078556558"
"2960359362","38","428754.3701576882","5547330.155502326"
"2960359369","38","428751.7999178947","5547389.149489646"
"243381406","40","425637.3774578633","5549359.819829213"
"2957030338","40","425640.9830492889","5549374.715548859"
